Transaction_ID,Customer_ID,Date,Store_ID,Product,Category,Quantity,Price,Total,Payment_Method
14,CUST028,2025-05-06,STORE04,Bread,Bakery,2,7.77,15.54,UPI
15,CUST020,2025-05-01,STORE03,Diaper,Baby,1,1.11,1.11,Card
15,CUST020,2025-05-01,STORE03,Beer,Beverage,3,2.1,6.3,Card
16,CUST043,2025-05-07,STORE01,Cheese,Dairy,3,7.98,23.94,Card
16,CUST043,2025-05-07,STORE01,Juice,Beverage,3,19.99,59.97,Card
16,CUST043,2025-05-07,STORE01,Butter,Dairy,3,19.7,59.1,Card
17,CUST036,2025-05-07,STORE03,Chips,Snacks,2,6.88,13.76,Cash
17,CUST036,2025-05-07,STORE03,Cheese,Dairy,3,2.64,7.92,Cash
17,CUST036,2025-05-07,STORE03,Bread,Bakery,3,15.76,47.28,Cash
17,CUST036,2025-05-07,STORE03,Butter,Dairy,1,14.81,14.81,Cash
17,CUST036,2025-05-07,STORE03,Beer,Beverage,1,18.03,18.03,Cash
18,CUST026,2025-05-06,STORE05,Juice,Beverage,1,8.21,8.21,Card
18,CUST026,2025-05-06,STORE05,Chips,Snacks,2,15.78,31.56,Card
18,CUST026,2025-05-06,STORE05,Diaper,Baby,2,13.13,26.26,Card
18,CUST026,2025-05-06,STORE05,Beer,Beverage,1,12.13,12.13,Card
18,CUST026,2025-05-06,STORE05,Butter,Dairy,1,6.83,6.83,Card
19,CUST026,2025-05-07,STORE01,Eggs,Dairy,1,8.62,8.62,Wallet
19,CUST026,2025-05-07,STORE01,Cheese,Dairy,3,1.85,5.55,Wallet
19,CUST026,2025-05-07,STORE01,Chips,Snacks,2,17.72,35.44,Wallet
20,CUST004,2025-05-01,STORE02,Diaper,Baby,3,12.43,37.29,Wallet
20,CUST004,2025-05-01,STORE02,Cookies,Snacks,1,8.41,8.41,Wallet
20,CUST004,2025-05-01,STORE02,Chips,Snacks,1,19.09,19.09,Wallet
20,CUST004,2025-05-01,STORE02,Eggs,Dairy,3,6.57,19.71,Wallet
20,CUST004,2025-05-01,STORE02,Juice,Beverage,1,17.65,17.65,Wallet
21,CUST013,2025-05-03,STORE01,Cookies,Snacks,3,16.65,49.95,Cash
21,CUST013,2025-05-03,STORE01,Butter,Dairy,1,14.77,14.77,Cash
21,CUST013,2025-05-03,STORE01,Chips,Snacks,3,7.87,23.61,Cash
22,CUST025,2025-05-05,STORE03,Cookies,Snacks,2,6.98,13.96,Wallet
22,CUST025,2025-05-05,STORE03,Butter,Dairy,3,14.9,44.7,Wallet
23,CUST023,2025-05-05,STORE02,Juice,Beverage,3,5.65,16.95,Wallet
23,CUST023,2025-05-05,STORE02,Cookies,Snacks,2,17.1,34.2,Wallet
23,CUST023,2025-05-05,STORE02,Beer,Beverage,3,14.7,44.1,Wallet
24,CUST033,2025-05-01,STORE05,Cheese,Dairy,1,16.1,16.1,Wallet
24,CUST033,2025-05-01,STORE05,Bread,Bakery,1,6.17,6.17,Wallet
24,CUST033,2025-05-01,STORE05,Diaper,Baby,2,8.64,17.28,Wallet
24,CUST033,2025-05-01,STORE05,Eggs,Dairy,3,1.13,3.39,Wallet
24,CUST033,2025-05-01,STORE05,Milk,Dairy,3,14.79,44.37,Wallet
25,CUST033,2025-05-07,STORE03,Diaper,Baby,3,13.96,41.88,Cash
25,CUST033,2025-05-07,STORE03,Cheese,Dairy,3,18.59,55.77,Cash
25,CUST033,2025-05-07,STORE03,Butter,Dairy,2,13.63,27.26,Cash
25,CUST033,2025-05-07,STORE03,Beer,Beverage,1,6.24,6.24,Cash
26,CUST007,2025-05-07,STORE01,Bread,Bakery,1,13.54,13.54,Wallet
26,CUST007,2025-05-07,STORE01,Beer,Beverage,1,11.19,11.19,Wallet
26,CUST007,2025-05-07,STORE01,Cookies,Snacks,1,6.77,6.77,Wallet
27,CUST014,2025-05-05,STORE01,Chips,Snacks,2,15.68,31.36,UPI
27,CUST014,2025-05-05,STORE01,Butter,Dairy,3,8.73,26.19,UPI
28,CUST048,2025-05-02,STORE01,Chips,Snacks,2,9.98,19.96,Cash
28,CUST048,2025-05-02,STORE01,Cookies,Snacks,2,4.66,9.32,Cash
29,CUST047,2025-05-02,STORE02,Eggs,Dairy,1,16.02,16.02,Card
29,CUST047,2025-05-02,STORE02,Milk,Dairy,3,8.07,24.21,Card
29,CUST047,2025-05-02,STORE02,Chips,Snacks,2,17.46,34.92,Card
29,CUST047,2025-05-02,STORE02,Cheese,Dairy,2,12.91,25.82,Card
29,CUST047,2025-05-02,STORE02,Diaper,Baby,3,19.56,58.68,Card
30,CUST026,2025-05-01,STORE01,Beer,Beverage,3,7.29,21.87,Cash
30,CUST026,2025-05-01,STORE01,Cheese,Dairy,1,1.32,1.32,Cash
30,CUST026,2025-05-01,STORE01,Diaper,Baby,3,16.95,50.85,Cash
30,CUST026,2025-05-01,STORE01,Butter,Dairy,3,14.98,44.94,Cash
30,CUST026,2025-05-01,STORE01,Bread,Bakery,2,19.41,38.82,Cash
31,CUST039,2025-05-02,STORE05,Butter,Dairy,2,10.82,21.64,UPI
31,CUST039,2025-05-02,STORE05,Chips,Snacks,2,7.25,14.5,UPI
31,CUST039,2025-05-02,STORE05,Eggs,Dairy,2,16.8,33.6,UPI
32,CUST035,2025-05-05,STORE04,Cheese,Dairy,2,19.46,38.92,UPI
33,CUST024,2025-05-02,STORE03,Beer,Beverage,1,15.91,15.91,Wallet
33,CUST024,2025-05-02,STORE03,Milk,Dairy,2,15.44,30.88,Wallet
34,CUST043,2025-05-05,STORE05,Bread,Bakery,1,9.87,9.87,Card
34,CUST043,2025-05-05,STORE05,Beer,Beverage,1,15.33,15.33,Card
34,CUST043,2025-05-05,STORE05,Chips,Snacks,2,4.97,9.94,Card
34,CUST043,2025-05-05,STORE05,Cookies,Snacks,2,19.73,39.46,Card
35,CUST040,2025-05-03,STORE01,Chips,Snacks,2,8.34,16.68,Cash
35,CUST040,2025-05-03,STORE01,Bread,Bakery,2,16.04,32.08,Cash
35,CUST040,2025-05-03,STORE01,Butter,Dairy,1,7.14,7.14,Cash
35,CUST040,2025-05-03,STORE01,Beer,Beverage,3,6.41,19.23,Cash
35,CUST040,2025-05-03,STORE01,Eggs,Dairy,3,16.76,50.28,Cash
36,CUST027,2025-05-07,STORE02,Bread,Bakery,2,4.19,8.38,UPI
36,CUST027,2025-05-07,STORE02,Butter,Dairy,2,8.05,16.1,UPI
36,CUST027,2025-05-07,STORE02,Cookies,Snacks,1,17.76,17.76,UPI
36,CUST027,2025-05-07,STORE02,Juice,Beverage,1,4.74,4.74,UPI
36,CUST027,2025-05-07,STORE02,Diaper,Baby,2,4.23,8.46,UPI
37,CUST026,2025-05-06,STORE03,Butter,Dairy,2,13.84,27.68,Card
37,CUST026,2025-05-06,STORE03,Cheese,Dairy,3,18.74,56.22,Card
38,CUST004,2025-05-01,STORE04,Milk,Dairy,1,18.78,18.78,Wallet
39,CUST044,2025-05-02,STORE01,Juice,Beverage,3,19.75,59.25,UPI
39,CUST044,2025-05-02,STORE01,Bread,Bakery,3,8.53,25.59,UPI
39,CUST044,2025-05-02,STORE01,Butter,Dairy,1,2.74,2.74,UPI
39,CUST044,2025-05-02,STORE01,Diaper,Baby,1,12.53,12.53,UPI
39,CUST044,2025-05-02,STORE01,Chips,Snacks,3,13.39,40.17,UPI
40,CUST001,2025-05-02,STORE05,Bread,Bakery,3,8.83,26.49,UPI
40,CUST001,2025-05-02,STORE05,Eggs,Dairy,1,13.19,13.19,UPI
40,CUST001,2025-05-02,STORE05,Beer,Beverage,3,14.74,44.22,UPI
40,CUST001,2025-05-02,STORE05,Diaper,Baby,2,1.47,2.94,UPI
40,CUST001,2025-05-02,STORE05,Milk,Dairy,3,15.76,47.28,UPI
41,CUST002,2025-05-02,STORE04,Diaper,Baby,3,6.86,20.58,UPI
42,CUST025,2025-05-02,STORE04,Beer,Beverage,1,9.28,9.28,Wallet
42,CUST025,2025-05-02,STORE04,Chips,Snacks,1,2.69,2.69,Wallet
42,CUST025,2025-05-02,STORE04,Milk,Dairy,1,11.49,11.49,Wallet
42,CUST025,2025-05-02,STORE04,Diaper,Baby,2,19.82,39.64,Wallet
42,CUST025,2025-05-02,STORE04,Cheese,Dairy,3,7.03,21.09,Wallet
43,CUST007,2025-05-06,STORE01,Eggs,Dairy,2,10.61,21.22,Cash
43,CUST007,2025-05-06,STORE01,Chips,Snacks,3,12.8,38.4,Cash
44,CUST049,2025-05-07,STORE02,Diaper,Baby,3,10.43,31.29,Cash
44,CUST049,2025-05-07,STORE02,Eggs,Dairy,1,1.31,1.31,Cash
44,CUST049,2025-05-07,STORE02,Cheese,Dairy,2,19.86,39.72,Cash
45,CUST011,2025-05-04,STORE04,Eggs,Dairy,1,7.74,7.74,Cash
45,CUST011,2025-05-04,STORE04,Juice,Beverage,1,9.46,9.46,Cash
45,CUST011,2025-05-04,STORE04,Chips,Snacks,2,7.54,15.08,Cash
45,CUST011,2025-05-04,STORE04,Milk,Dairy,2,17.26,34.52,Cash
45,CUST011,2025-05-04,STORE04,Cheese,Dairy,3,10.76,32.28,Cash
46,CUST016,2025-05-04,STORE01,Eggs,Dairy,1,6.13,6.13,UPI
46,CUST016,2025-05-04,STORE01,Chips,Snacks,3,11.27,33.81,UPI
46,CUST016,2025-05-04,STORE01,Diaper,Baby,1,6.15,6.15,UPI
47,CUST032,2025-05-03,STORE01,Eggs,Dairy,3,5.87,17.61,Card
47,CUST032,2025-05-03,STORE01,Juice,Beverage,3,15.04,45.12,Card
48,CUST003,2025-05-03,STORE02,Cheese,Dairy,2,17.71,35.42,Card
48,CUST003,2025-05-03,STORE02,Eggs,Dairy,1,4.12,4.12,Card
49,CUST033,2025-05-03,STORE01,Butter,Dairy,2,16.66,33.32,Card
50,CUST023,2025-05-02,STORE01,Bread,Bakery,2,17.57,35.14,Wallet
50,CUST023,2025-05-02,STORE01,Beer,Beverage,2,10.5,21,Wallet
50,CUST023,2025-05-02,STORE01,Butter,Dairy,3,14.24,42.72,Wallet
50,CUST023,2025-05-02,STORE01,Cheese,Dairy,2,9.11,18.22,Wallet
50,CUST023,2025-05-02,STORE01,Juice,Beverage,2,14.17,28.34,Wallet
51,CUST046,2025-05-01,STORE02,Beer,Beverage,2,12.95,25.9,Cash
51,CUST046,2025-05-01,STORE02,Butter,Dairy,1,13.25,13.25,Cash
51,CUST046,2025-05-01,STORE02,Cheese,Dairy,3,12.35,37.05,Cash
52,CUST022,2025-05-05,STORE01,Diaper,Baby,2,13.15,26.3,UPI
52,CUST022,2025-05-05,STORE01,Cookies,Snacks,1,18.64,18.64,UPI
52,CUST022,2025-05-05,STORE01,Beer,Beverage,3,15.51,46.53,UPI
53,CUST014,2025-05-06,STORE05,Milk,Dairy,3,18.52,55.56,Card
53,CUST014,2025-05-06,STORE05,Diaper,Baby,3,10.47,31.41,Card
53,CUST014,2025-05-06,STORE05,Bread,Bakery,2,2.33,4.66,Card
54,CUST002,2025-05-07,STORE04,Cookies,Snacks,1,16.22,16.22,UPI
54,CUST002,2025-05-07,STORE04,Bread,Bakery,2,8.11,16.22,UPI
55,CUST002,2025-05-04,STORE04,Butter,Dairy,3,4.52,13.56,Wallet
55,CUST002,2025-05-04,STORE04,Bread,Bakery,3,18.56,55.68,Wallet
55,CUST002,2025-05-04,STORE04,Beer,Beverage,2,4.5,9,Wallet
56,CUST041,2025-05-07,STORE04,Diaper,Baby,2,5.7,11.4,Wallet
57,CUST008,2025-05-03,STORE05,Cookies,Snacks,2,5.32,10.64,UPI
58,CUST017,2025-05-05,STORE02,Milk,Dairy,2,14.93,29.86,Wallet
58,CUST017,2025-05-05,STORE02,Juice,Beverage,2,13.99,27.98,Wallet
58,CUST017,2025-05-05,STORE02,Eggs,Dairy,2,7.04,14.08,Wallet
58,CUST017,2025-05-05,STORE02,Diaper,Baby,1,18.05,18.05,Wallet
58,CUST017,2025-05-05,STORE02,Cookies,Snacks,1,17.95,17.95,Wallet
59,CUST024,2025-05-05,STORE01,Cookies,Snacks,3,12.81,38.43,Card
60,CUST038,2025-05-06,STORE02,Diaper,Baby,1,10.24,10.24,Cash
60,CUST038,2025-05-06,STORE02,Beer,Beverage,3,4.59,13.77,Cash
61,CUST019,2025-05-04,STORE02,Eggs,Dairy,2,7.21,14.42,Cash
62,CUST017,2025-05-05,STORE02,Eggs,Dairy,2,11.91,23.82,Cash
62,CUST017,2025-05-05,STORE02,Juice,Beverage,2,19.58,39.16,Cash
62,CUST017,2025-05-05,STORE02,Beer,Beverage,2,6.23,12.46,Cash
62,CUST017,2025-05-05,STORE02,Butter,Dairy,3,16.72,50.16,Cash
63,CUST037,2025-05-06,STORE05,Milk,Dairy,3,8.01,24.03,Cash
63,CUST037,2025-05-06,STORE05,Chips,Snacks,1,18.16,18.16,Cash
63,CUST037,2025-05-06,STORE05,Butter,Dairy,2,8.24,16.48,Cash
63,CUST037,2025-05-06,STORE05,Cheese,Dairy,2,11.61,23.22,Cash
63,CUST037,2025-05-06,STORE05,Eggs,Dairy,3,4,12,Cash
64,CUST018,2025-05-05,STORE01,Butter,Dairy,3,11.96,35.88,UPI
65,CUST012,2025-05-03,STORE01,Eggs,Dairy,3,4.52,13.56,Cash
66,CUST038,2025-05-04,STORE02,Beer,Beverage,1,10.25,10.25,Cash
67,CUST008,2025-05-06,STORE03,Cookies,Snacks,3,17.34,52.02,Card
67,CUST008,2025-05-06,STORE03,Juice,Beverage,2,5.99,11.98,Card
67,CUST008,2025-05-06,STORE03,Beer,Beverage,1,11.39,11.39,Card
67,CUST008,2025-05-06,STORE03,Milk,Dairy,3,6.55,19.65,Card
67,CUST008,2025-05-06,STORE03,Diaper,Baby,1,18.9,18.9,Card
68,CUST005,2025-05-05,STORE05,Cookies,Snacks,3,8.3,24.9,UPI
68,CUST005,2025-05-05,STORE05,Diaper,Baby,2,14.09,28.18,UPI
68,CUST005,2025-05-05,STORE05,Eggs,Dairy,2,12.01,24.02,UPI
69,CUST050,2025-05-04,STORE04,Butter,Dairy,1,6.74,6.74,UPI
69,CUST050,2025-05-04,STORE04,Bread,Bakery,3,6.42,19.26,UPI
70,CUST011,2025-05-05,STORE03,Milk,Dairy,3,3.89,11.67,Card
70,CUST011,2025-05-05,STORE03,Chips,Snacks,1,3.93,3.93,Card
70,CUST011,2025-05-05,STORE03,Eggs,Dairy,2,17.91,35.82,Card
70,CUST011,2025-05-05,STORE03,Cheese,Dairy,3,19.07,57.21,Card
71,CUST029,2025-05-06,STORE02,Butter,Dairy,3,3.59,10.77,Card
71,CUST029,2025-05-06,STORE02,Chips,Snacks,3,3.94,11.82,Card
72,CUST049,2025-05-07,STORE05,Chips,Snacks,2,13.24,26.48,Card
72,CUST049,2025-05-07,STORE05,Cookies,Snacks,3,11.34,34.02,Card
72,CUST049,2025-05-07,STORE05,Diaper,Baby,1,2.61,2.61,Card
72,CUST049,2025-05-07,STORE05,Cheese,Dairy,1,10.06,10.06,Card
72,CUST049,2025-05-07,STORE05,Milk,Dairy,2,10.75,21.5,Card
73,CUST007,2025-05-04,STORE03,Cookies,Snacks,1,5.14,5.14,Cash
73,CUST007,2025-05-04,STORE03,Eggs,Dairy,1,4.88,4.88,Cash
73,CUST007,2025-05-04,STORE03,Beer,Beverage,1,12.98,12.98,Cash
73,CUST007,2025-05-04,STORE03,Butter,Dairy,1,10.26,10.26,Cash
74,CUST046,2025-05-06,STORE04,Diaper,Baby,2,16.72,33.44,Cash
74,CUST046,2025-05-06,STORE04,Beer,Beverage,2,5.57,11.14,Cash
75,CUST002,2025-05-05,STORE01,Butter,Dairy,2,15.62,31.24,UPI
75,CUST002,2025-05-05,STORE01,Cookies,Snacks,1,5.51,5.51,UPI
75,CUST002,2025-05-05,STORE01,Chips,Snacks,1,4.57,4.57,UPI
75,CUST002,2025-05-05,STORE01,Bread,Bakery,1,7.78,7.78,UPI
75,CUST002,2025-05-05,STORE01,Beer,Beverage,1,9.83,9.83,UPI
76,CUST008,2025-05-07,STORE01,Diaper,Baby,3,10.56,31.68,UPI
76,CUST008,2025-05-07,STORE01,Bread,Bakery,1,9.06,9.06,UPI
76,CUST008,2025-05-07,STORE01,Eggs,Dairy,3,17.6,52.8,UPI
76,CUST008,2025-05-07,STORE01,Butter,Dairy,3,1.24,3.72,UPI
77,CUST025,2025-05-05,STORE04,Milk,Dairy,2,5.75,11.5,Wallet
77,CUST025,2025-05-05,STORE04,Bread,Bakery,2,1.7,3.4,Wallet
77,CUST025,2025-05-05,STORE04,Cookies,Snacks,1,5.5,5.5,Wallet
77,CUST025,2025-05-05,STORE04,Butter,Dairy,1,3.55,3.55,Wallet
78,CUST016,2025-05-07,STORE04,Cookies,Snacks,3,19.29,57.87,UPI
78,CUST016,2025-05-07,STORE04,Butter,Dairy,3,2.21,6.63,UPI
78,CUST016,2025-05-07,STORE04,Milk,Dairy,1,4.33,4.33,UPI
78,CUST016,2025-05-07,STORE04,Bread,Bakery,2,16.53,33.06,UPI
78,CUST016,2025-05-07,STORE04,Cheese,Dairy,3,3.4,10.2,UPI
79,CUST018,2025-05-04,STORE03,Butter,Dairy,1,13.44,13.44,UPI
80,CUST018,2025-05-07,STORE03,Cookies,Snacks,1,6.31,6.31,Cash
80,CUST018,2025-05-07,STORE03,Chips,Snacks,2,10.55,21.1,Cash
80,CUST018,2025-05-07,STORE03,Milk,Dairy,3,5.71,17.13,Cash
80,CUST018,2025-05-07,STORE03,Cheese,Dairy,2,11.03,22.06,Cash
80,CUST018,2025-05-07,STORE03,Juice,Beverage,1,4.99,4.99,Cash
81,CUST015,2025-05-03,STORE01,Beer,Beverage,2,19.98,39.96,Wallet
81,CUST015,2025-05-03,STORE01,Chips,Snacks,2,15.42,30.84,Wallet
81,CUST015,2025-05-03,STORE01,Cheese,Dairy,2,4.91,9.82,Wallet
82,CUST011,2025-05-03,STORE04,Milk,Dairy,3,14.7,44.1,Wallet
82,CUST011,2025-05-03,STORE04,Cheese,Dairy,1,6.76,6.76,Wallet
82,CUST011,2025-05-03,STORE04,Chips,Snacks,1,10.32,10.32,Wallet
82,CUST011,2025-05-03,STORE04,Butter,Dairy,3,11.78,35.34,Wallet
83,CUST034,2025-05-06,STORE02,Butter,Dairy,3,6.79,20.37,UPI
83,CUST034,2025-05-06,STORE02,Bread,Bakery,1,11.72,11.72,UPI
84,CUST006,2025-05-07,STORE02,Cheese,Dairy,3,11.97,35.91,Wallet
84,CUST006,2025-05-07,STORE02,Chips,Snacks,2,17.93,35.86,Wallet
84,CUST006,2025-05-07,STORE02,Cookies,Snacks,3,13.89,41.67,Wallet
85,CUST019,2025-05-04,STORE02,Juice,Beverage,3,19.91,59.73,Cash
86,CUST001,2025-05-03,STORE02,Beer,Beverage,3,10.37,31.11,UPI
86,CUST001,2025-05-03,STORE02,Cookies,Snacks,1,12.39,12.39,UPI
86,CUST001,2025-05-03,STORE02,Juice,Beverage,1,3.78,3.78,UPI
87,CUST020,2025-05-04,STORE04,Cookies,Snacks,2,1.37,2.74,UPI
87,CUST020,2025-05-04,STORE04,Cheese,Dairy,2,2.29,4.58,UPI
87,CUST020,2025-05-04,STORE04,Butter,Dairy,3,1.61,4.83,UPI
87,CUST020,2025-05-04,STORE04,Diaper,Baby,2,8.55,17.1,UPI
88,CUST024,2025-05-01,STORE03,Beer,Beverage,2,6.01,12.02,Wallet
88,CUST024,2025-05-01,STORE03,Eggs,Dairy,1,1.47,1.47,Wallet
89,CUST040,2025-05-06,STORE02,Cookies,Snacks,2,12.95,25.9,Card
90,CUST040,2025-05-01,STORE05,Beer,Beverage,2,18.08,36.16,Wallet
90,CUST040,2025-05-01,STORE05,Butter,Dairy,2,5.16,10.32,Wallet
90,CUST040,2025-05-01,STORE05,Eggs,Dairy,1,2.2,2.2,Wallet
90,CUST040,2025-05-01,STORE05,Cheese,Dairy,1,3.9,3.9,Wallet
91,CUST038,2025-05-06,STORE01,Cheese,Dairy,3,13.35,40.05,Cash
91,CUST038,2025-05-06,STORE01,Cookies,Snacks,3,1.75,5.25,Cash
91,CUST038,2025-05-06,STORE01,Juice,Beverage,1,14.65,14.65,Cash
91,CUST038,2025-05-06,STORE01,Milk,Dairy,3,5.42,16.26,Cash
92,CUST007,2025-05-01,STORE01,Diaper,Baby,1,17.77,17.77,Card
93,CUST042,2025-05-05,STORE01,Bread,Bakery,1,4.38,4.38,Cash
93,CUST042,2025-05-05,STORE01,Beer,Beverage,1,1.82,1.82,Cash
93,CUST042,2025-05-05,STORE01,Chips,Snacks,1,3.78,3.78,Cash
93,CUST042,2025-05-05,STORE01,Butter,Dairy,1,17.55,17.55,Cash
93,CUST042,2025-05-05,STORE01,Milk,Dairy,2,4.3,8.6,Cash
94,CUST005,2025-05-06,STORE02,Chips,Snacks,3,13.46,40.38,Wallet
94,CUST005,2025-05-06,STORE02,Milk,Dairy,3,6.74,20.22,Wallet
94,CUST005,2025-05-06,STORE02,Bread,Bakery,2,16.46,32.92,Wallet
94,CUST005,2025-05-06,STORE02,Diaper,Baby,3,3.8,11.4,Wallet
94,CUST005,2025-05-06,STORE02,Cheese,Dairy,1,5,5,Wallet
95,CUST008,2025-05-07,STORE02,Butter,Dairy,1,17.22,17.22,Card
96,CUST018,2025-05-06,STORE01,Butter,Dairy,1,13.42,13.42,Card
96,CUST018,2025-05-06,STORE01,Chips,Snacks,2,12.8,25.6,Card
96,CUST018,2025-05-06,STORE01,Bread,Bakery,2,2.74,5.48,Card
97,CUST019,2025-05-04,STORE03,Beer,Beverage,1,3.78,3.78,UPI
97,CUST019,2025-05-04,STORE03,Eggs,Dairy,3,7.38,22.14,UPI
98,CUST046,2025-05-04,STORE01,Diaper,Baby,1,5.87,5.87,UPI
99,CUST008,2025-05-03,STORE03,Cheese,Dairy,3,16.07,48.21,Wallet
99,CUST008,2025-05-03,STORE03,Chips,Snacks,1,16.99,16.99,Wallet
100,CUST022,2025-05-04,STORE02,Cookies,Snacks,3,5.99,17.97,UPI
100,CUST022,2025-05-04,STORE02,Bread,Bakery,3,19.37,58.11,UPI
100,CUST022,2025-05-04,STORE02,Beer,Beverage,2,2.34,4.68,UPI
101,CUST003,2025-05-04,STORE04,Diaper,Baby,1,2.89,2.89,UPI
101,CUST003,2025-05-04,STORE04,Beer,Beverage,2,13.41,26.82,UPI
101,CUST003,2025-05-04,STORE04,Bread,Bakery,3,4.91,14.73,UPI
102,CUST048,2025-05-02,STORE01,Cheese,Dairy,3,5.14,15.42,Cash
102,CUST048,2025-05-02,STORE01,Chips,Snacks,3,9.71,29.13,Cash
103,CUST009,2025-05-04,STORE05,Chips,Snacks,1,2.77,2.77,UPI
104,CUST013,2025-05-03,STORE05,Diaper,Baby,1,8.34,8.34,UPI
104,CUST013,2025-05-03,STORE05,Beer,Beverage,3,6.78,20.34,UPI
104,CUST013,2025-05-03,STORE05,Cookies,Snacks,2,3.21,6.42,UPI
104,CUST013,2025-05-03,STORE05,Eggs,Dairy,2,7.23,14.46,UPI
104,CUST013,2025-05-03,STORE05,Bread,Bakery,1,6.24,6.24,UPI
105,CUST031,2025-05-07,STORE03,Chips,Snacks,3,16.36,49.08,Cash
105,CUST031,2025-05-07,STORE03,Eggs,Dairy,1,6.77,6.77,Cash
105,CUST031,2025-05-07,STORE03,Cheese,Dairy,2,3.62,7.24,Cash
105,CUST031,2025-05-07,STORE03,Butter,Dairy,2,18.6,37.2,Cash
105,CUST031,2025-05-07,STORE03,Beer,Beverage,2,7.67,15.34,Cash
106,CUST026,2025-05-06,STORE02,Juice,Beverage,3,18.48,55.44,Cash
107,CUST001,2025-05-07,STORE03,Milk,Dairy,3,9.57,28.71,Cash
107,CUST001,2025-05-07,STORE03,Butter,Dairy,1,4.1,4.1,Cash
107,CUST001,2025-05-07,STORE03,Eggs,Dairy,1,14.13,14.13,Cash
108,CUST050,2025-05-02,STORE03,Eggs,Dairy,3,3.19,9.57,Cash
109,CUST007,2025-05-07,STORE01,Eggs,Dairy,3,4.44,13.32,UPI
109,CUST007,2025-05-07,STORE01,Chips,Snacks,2,11.94,23.88,UPI
109,CUST007,2025-05-07,STORE01,Cookies,Snacks,3,14.56,43.68,UPI
110,CUST005,2025-05-06,STORE05,Butter,Dairy,2,10.75,21.5,Card
110,CUST005,2025-05-06,STORE05,Cheese,Dairy,2,11.08,22.16,Card
111,CUST026,2025-05-02,STORE01,Bread,Bakery,2,1.39,2.78,Card
